User Name,Review Text,Rating (Stars),Review Date
Абильдаева Жанар,"С сабой заказ бергем арзан болғандықтан
5мың тг сеть че там деген
Күшті керемет деп айта алмаймын
Бірақ бағасына стоит болады алуға
Басқа жерлерде қымбат қо
Балаларға болады☺️🤭
Пиццасы жақсы екен👍",4,сегодня
Зарина Бекмухамедова,"Заказали сет Муфаса, ужас просто! Филадельфия одно название! Рис старый, сухой, попадаются кости какие-то непонятные, ставлю две звезды за пиццу",2,сегодня
Afternoon,Заведение готовит не вкусно так ещё и берет большой процент за обслуживание,1,2 января 2025
Олжас Жанболат,Мынандай қылып бергенше вообще ет салмаяқ қойсандаршы,1,2 января 2025
Dake 19,Тамақтарынан шаш шықты не стойт алғаныма өкінп отрм,1,2 января 2025
Dina Kanat,"Мы когда заказывали суши Филадельфия ужасная была , тоньше нитки рыба. Но жареные были вкусные . В этот раз мы заказал и сет Голд вместо Саше , из-за которых я заказала данный сет , положили беспонтовые суши из никто не ест . Не предупредили. Заказывали из-за выгодных предложений, больше не будем . Лучше я пару тысяч доплачу спокойно и вкусно поем .",1,2 января 2025
Роуза Казиева,"Ужасные суши и пицца
Первый раз заказали и в последний 100% ,не советую ,доставку ждать 3 часа ,рис полусырой ((попробовали и решили не травиться 😒 за что платили хз",1,2 января 2025
Гуля Садикова,"Отзывтарды ертерек ашып карамаган екенмин, ожидание и реальность рекламаны олтирген, филадельфия аты гана, жуп жука ужас, жаренный рол куйген иси алыстан шыгып тур, адал жумыс жасасаныздаршы, ешкимге рекомендовать етпеймин",1,31 декабря 2024
Багжан Абдуалиев,"Девушка оператор которая разговаривала по телефону 5-10 минут назад, была очень понимающей Спасибо большое, просто на высшем уровне🫶🏻🫶🏻🫶🏻",5,31 декабря 2024
Ұлдана Ғой,Рахмет айналайындар жемим енд суши 4 сағат кнтем деп күтіп күтіп қарным тойды мұз болп қалған до тово пиццамен адамның басын жаруға болады суши вапше құтақандай соус төгіліп шашылып обшым бермей ақ қойндар 🌪️🌪️,1,31 декабря 2024
Цой Ирина,Без слов ….. ₽изд просто! За что платим ?,3,"31 декабря 2024, отредактирован"
Kundyz Adilbaeva,"Толық әкелмиді сеттағы суши колаларын, доставка долго, заказ берудің керегі жоқ!😞 зачем олай жасайсыздар? Еще суши бәрі салқын… жемеді балалар(",1,30 декабря 2024
Amangul Sherkeshova,Доставка долго.Всё холодное.Не соответствует рекламе.,1,30 декабря 2024
Sever Demirel,Суши вкусно Аяулым деген офисантка конактармен сойлесуди билмейди грубо относится к гостям а так суши вкусно повару 5,1,30 декабря 2024
Мия М,"Ужасные суши, не свежие",1,30 декабря 2024
